"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","42.96","42.65","43.29","42.55","5.98M","0.23%"
"10/10/2024","42.86","42.15","42.99","41.92","7.45M","2.14%"
"10/09/2024","41.96","41.28","42.13","41.12","6.26M","0.67%"
"10/08/2024","41.68","41.84","41.96","41.03","7.40M","-2.18%"
"10/07/2024","42.61","42.42","43.03","42.31","8.36M","0.45%"
"10/04/2024","42.42","42.40","42.54","41.86","10.29M","1.51%"
"10/03/2024","41.79","40.52","41.91","40.40","11.72M","3.19%"
"10/02/2024","40.50","40.50","40.73","39.90","8.13M","1.86%"
"10/01/2024","39.76","38.76","40.15","38.65","12.62M","1.64%"
"09/30/2024","39.12","38.91","39.51","38.67","10.94M","0.41%"
"09/27/2024","38.96","38.29","39.06","38.21","8.63M","2.88%"
"09/26/2024","37.87","39.20","39.40","37.76","17.00M","-4.85%"
"09/25/2024","39.80","40.73","40.89","39.76","8.39M","-2.95%"
"09/24/2024","41.01","41.85","41.88","40.92","6.90M","-0.27%"
"09/23/2024","41.12","40.79","41.49","40.53","7.21M","0.81%"
"09/20/2024","40.79","40.79","40.89","40.20","12.85M","-0.44%"
"09/19/2024","40.97","41.13","41.43","40.78","6.47M","1.49%"
"09/18/2024","40.37","40.18","41.10","40.06","6.00M","-0.22%"
"09/17/2024","40.46","39.55","40.56","39.41","7.49M","2.07%"
"09/16/2024","39.64","39.75","40.18","39.38","","0.48%"
"09/13/2024","39.45","39.78","40.09","39.36","8.67M","-1.40%"
"09/12/2024","40.01","39.95","40.44","39.38","8.04M","0.20%"
"09/11/2024","39.93","40.25","40.26","39.02","10.26M","-0.75%"
"09/10/2024","40.23","41.40","41.43","40.10","7.93M","-2.83%"
"09/09/2024","41.40","41.50","41.85","41.28","7.69M","0.15%"
"09/06/2024","41.34","42.10","42.38","41.08","6.23M","-1.76%"
"09/05/2024","42.08","42.65","42.74","41.93","5.32M","-0.38%"
"09/04/2024","42.24","43.20","43.47","42.10","6.32M","-1.81%"
"09/03/2024","43.02","43.96","44.08","42.81","6.39M","-3.93%"
"08/30/2024","44.78","44.54","44.84","44.38","5.83M","-0.49%"
"08/29/2024","45.00","44.94","45.34","44.51","4.37M","0.92%"
"08/28/2024","44.59","44.29","44.87","44.25","3.65M","-0.13%"
"08/27/2024","44.65","45.06","45.26","44.59","3.77M","-1.09%"
"08/26/2024","45.14","45.50","46.04","45.01","5.33M","0.98%"
"08/23/2024","44.70","44.00","44.77","43.95","4.31M","2.36%"
"08/22/2024","43.67","43.95","44.08","43.54","4.17M","-0.39%"
"08/21/2024","43.84","44.51","44.64","43.61","5.37M","-0.45%"
"08/20/2024","44.04","44.99","45.00","43.80","6.27M","-2.54%"
"08/19/2024","45.19","45.26","45.54","45.05","5.06M","0.22%"
"08/16/2024","45.09","44.97","45.42","44.82","4.92M","-0.77%"
"08/15/2024","45.44","44.74","45.55","44.74","5.40M","2.14%"
"08/14/2024","44.49","44.80","44.84","44.17","5.71M","-0.34%"
"08/13/2024","44.64","44.76","45.04","44.34","6.87M","-1.52%"
"08/12/2024","45.33","45.12","45.48","44.98","4.92M","0.91%"
"08/09/2024","44.92","45.01","45.19","44.30","6.23M","-0.42%"
"08/08/2024","45.11","43.77","45.21","43.60","8.82M","4.49%"
"08/07/2024","43.17","43.52","44.45","43.14","11.87M","2.83%"
"08/06/2024","41.98","41.54","42.43","41.33","8.33M","1.21%"
