"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","132.45","131.68","133.57","131.56","1.46M","0.20%"
"10/10/2024","132.19","131.87","132.61","130.34","1.64M","0.94%"
"10/09/2024","130.96","130.38","131.35","129.43","2.23M","0.45%"
"10/08/2024","130.37","132.50","132.59","129.33","2.57M","-2.88%"
"10/07/2024","134.24","133.25","135.50","133.12","2.89M","0.84%"
"10/04/2024","133.12","132.00","133.26","131.03","2.72M","1.78%"
"10/03/2024","130.79","128.66","131.04","127.57","2.61M","1.92%"
"10/02/2024","128.33","129.21","129.35","126.53","2.64M","1.08%"
"10/01/2024","126.96","120.81","127.25","120.55","3.54M","3.28%"
"09/30/2024","122.93","122.28","123.65","121.47","3.57M","0.40%"
"09/27/2024","122.44","121.20","122.66","120.76","3.27M","1.72%"
"09/26/2024","120.37","121.78","123.00","119.89","4.91M","-3.36%"
"09/25/2024","124.56","127.47","127.98","124.46","3.03M","-2.61%"
"09/24/2024","127.90","129.40","129.73","127.19","2.11M","0.13%"
"09/23/2024","127.73","125.71","128.46","125.25","3.17M","1.35%"
"09/20/2024","126.03","125.05","126.15","123.95","9.40M","0.66%"
"09/19/2024","125.20","126.67","126.82","124.75","4.36M","0.66%"
"09/18/2024","124.38","122.61","125.16","122.53","3.97M","0.97%"
"09/17/2024","123.19","121.59","123.33","121.42","4.01M","1.25%"
"09/16/2024","121.67","121.23","121.76","120.21","","1.93%"
"09/13/2024","119.37","118.61","120.05","118.50","4.43M","0.97%"
"09/12/2024","118.22","117.50","118.66","116.58","4.71M","0.27%"
"09/11/2024","117.90","118.58","118.95","115.78","3.42M","-0.90%"
"09/10/2024","118.97","120.43","120.81","117.96","3.93M","-1.27%"
"09/09/2024","120.50","120.86","121.57","120.48","5.00M","0.12%"
"09/06/2024","120.35","122.00","122.46","119.93","3.14M","-0.99%"
"09/05/2024","121.55","123.67","123.81","121.03","3.12M","-1.00%"
"09/04/2024","122.78","123.99","125.32","122.45","2.73M","-0.69%"
"09/03/2024","123.63","127.03","127.27","123.57","3.83M","-4.03%"
"08/30/2024","128.82","128.43","129.31","127.60","2.82M","-0.89%"
"08/29/2024","129.98","129.37","130.54","129.10","3.15M","0.98%"
"08/28/2024","128.72","127.59","129.26","127.17","1.73M","0.12%"
"08/27/2024","128.56","130.49","130.85","128.34","2.15M","-1.15%"
"08/26/2024","130.06","129.50","131.18","128.84","2.27M","2.49%"
"08/23/2024","126.90","126.25","127.26","125.50","2.00M","1.34%"
"08/22/2024","125.22","125.00","126.43","124.95","2.22M","0.19%"
"08/21/2024","124.98","126.23","126.86","124.93","2.67M","-0.22%"
"08/20/2024","125.25","128.29","128.56","124.65","2.87M","-2.33%"
"08/19/2024","128.24","128.07","129.81","127.85","1.99M","0.14%"
"08/16/2024","128.06","127.61","128.43","127.31","2.34M","-0.05%"
"08/15/2024","128.12","126.57","128.42","126.47","2.04M","1.25%"
"08/14/2024","126.54","126.61","127.10","125.88","2.03M","0.14%"
"08/13/2024","126.36","127.38","127.80","126.00","2.98M","-1.87%"
"08/12/2024","128.77","127.20","128.83","126.93","2.93M","1.77%"
"08/09/2024","126.53","126.80","127.15","125.30","3.07M","-0.21%"
"08/08/2024","126.79","123.44","126.94","123.44","2.67M","2.98%"
"08/07/2024","123.12","124.11","125.38","122.93","2.73M","0.70%"
"08/06/2024","122.27","122.47","124.28","122.16","3.81M","-0.69%"
"08/05/2024","123.12","120.59","124.45","119.78","5.00M","0.16%"
"08/02/2024","122.92","124.68","126.04","120.00","6.67M","-0.15%"
"08/01/2024","123.11","127.12","128.01","122.59","3.08M","-2.91%"
"07/31/2024","126.80","128.15","128.57","126.46","3.20M","0.52%"
"07/30/2024","126.15","125.11","126.81","125.11","2.31M","0.77%"
"07/29/2024","125.18","127.50","127.98","123.86","2.34M","-1.55%"
"07/26/2024","127.15","126.80","127.77","125.51","2.21M","0.09%"
"07/25/2024","127.04","125.46","128.06","125.30","2.26M","1.55%"
"07/24/2024","125.10","125.91","126.64","124.64","2.21M","0.16%"
"07/23/2024","124.90","125.89","126.18","124.12","3.68M","-1.59%"
"07/22/2024","126.92","128.63","128.94","126.84","2.09M","-1.80%"
"07/19/2024","129.25","132.40","132.43","128.60","3.22M","-2.25%"
"07/18/2024","132.23","131.73","134.74","131.38","2.16M","-0.11%"
"07/17/2024","132.38","130.72","133.11","130.71","2.41M","0.65%"
"07/16/2024","131.52","132.34","133.07","131.20","2.93M","-0.85%"
"07/15/2024","132.65","130.25","134.32","129.65","3.53M","2.87%"
"07/12/2024","128.95","129.35","129.47","127.75","2.03M","0.61%"
"07/11/2024","128.17","125.98","128.53","125.60","2.40M","1.54%"
"07/10/2024","126.22","125.64","126.34","124.94","1.84M","0.44%"
"07/09/2024","125.67","123.88","126.93","123.82","2.86M","0.03%"
"07/08/2024","125.63","124.04","125.66","123.91","2.63M","0.55%"
"07/05/2024","124.94","126.55","127.09","124.45","3.35M","-1.44%"
"07/03/2024","126.77","126.50","127.39","126.15","1.81M","0.09%"
"07/02/2024","126.65","127.80","128.85","126.08","2.27M","0.09%"
"07/01/2024","126.54","127.70","127.89","125.47","2.50M","0.53%"
"06/28/2024","125.87","125.59","126.07","124.80","4.03M","1.06%"
"06/27/2024","124.55","125.50","125.50","123.67","1.73M","-0.02%"
"06/26/2024","124.58","126.02","126.15","123.87","2.30M","-0.77%"
"06/25/2024","125.55","124.94","125.68","123.92","1.97M","0.20%"
"06/24/2024","125.30","122.62","125.93","122.50","2.78M","2.66%"
"06/21/2024","122.05","122.84","122.96","121.26","7.88M","0.05%"
"06/20/2024","121.99","119.76","122.08","119.25","2.47M","2.08%"
"06/18/2024","119.50","119.78","121.15","118.77","2.03M","0.35%"
"06/17/2024","119.08","118.24","119.59","117.24","2.39M","0.71%"
"06/14/2024","118.24","119.71","119.71","117.17","2.85M","-0.72%"
"06/13/2024","119.10","120.51","120.83","118.13","2.25M","-1.51%"
"06/12/2024","120.93","123.10","123.23","120.15","2.13M","-0.90%"
"06/11/2024","122.03","120.69","122.05","119.79","2.06M","0.36%"
"06/10/2024","121.59","120.60","122.27","119.75","1.72M","1.16%"
"06/07/2024","120.19","121.00","122.09","120.05","2.49M","-0.84%"
"06/06/2024","121.21","120.30","121.29","119.60","3.40M","0.75%"
"06/05/2024","120.31","119.88","120.35","119.00","3.41M","0.43%"
"06/04/2024","119.80","118.45","120.04","117.40","4.50M","0.13%"
"06/03/2024","119.64","124.20","124.39","118.40","3.24M","-3.94%"
"05/31/2024","124.55","122.54","124.74","122.54","4.08M","1.88%"
"05/30/2024","122.25","121.92","123.24","121.38","3.01M","0.27%"
"05/29/2024","121.92","125.97","126.00","121.18","5.51M","-3.12%"
"05/28/2024","125.85","123.90","126.10","123.66","3.80M","2.09%"
"05/24/2024","123.27","124.63","125.58","122.98","3.73M","-0.61%"
"05/23/2024","124.03","126.66","127.30","123.88","3.37M","-1.60%"
