"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","139.79","138.76","141.03","138.76","1.63M","0.26%"
"10/10/2024","139.43","139.19","140.30","138.55","564.75K","0.69%"
"10/09/2024","138.48","136.06","139.17","135.93","665.36K","0.83%"
"10/08/2024","137.34","138.17","138.50","136.44","1.03M","-2.10%"
"10/07/2024","140.28","140.68","142.16","140.21","1.20M","-0.04%"
"10/04/2024","140.34","142.44","142.94","139.58","1.36M","-0.38%"
"10/03/2024","140.87","140.23","141.78","139.49","1.23M","0.38%"
"10/02/2024","140.34","141.85","141.88","138.70","1.46M","0.99%"
"10/01/2024","138.96","134.52","139.65","133.99","2.76M","2.33%"
"09/30/2024","135.80","134.68","136.10","132.38","1.79M","1.64%"
"09/27/2024","133.61","131.46","134.01","131.46","1.49M","2.25%"
"09/26/2024","130.67","128.56","131.67","128.43","2.29M","-1.16%"
"09/25/2024","132.21","135.12","135.49","131.69","1.61M","-2.46%"
"09/24/2024","135.55","136.98","137.02","134.76","2.50M","0.16%"
"09/23/2024","135.34","134.91","136.61","134.30","1.53M","0.70%"
"09/20/2024","134.40","132.53","134.56","131.55","2.45M","0.67%"
"09/19/2024","133.50","133.76","134.75","132.42","1.60M","1.61%"
"09/18/2024","131.39","130.08","133.05","130.08","2.43M","0.44%"
"09/17/2024","130.81","129.11","131.42","129.11","1.11M","1.47%"
"09/16/2024","128.92","129.43","130.95","127.74","","0.27%"
"09/13/2024","128.57","128.20","129.50","128.04","817.29K","0.73%"
"09/12/2024","127.64","126.70","127.91","125.81","879.04K","1.02%"
"09/11/2024","126.35","126.64","126.99","123.79","1.32M","-0.14%"
"09/10/2024","126.53","128.69","128.93","125.19","1.17M","-1.82%"
"09/09/2024","128.88","126.56","129.81","126.45","2.25M","2.04%"
"09/06/2024","126.30","128.78","130.14","125.89","1.56M","-2.11%"
"09/05/2024","129.02","132.39","132.39","128.84","3.59M","-1.63%"
"09/04/2024","131.16","134.64","135.17","130.76","1.49M","-2.31%"
"09/03/2024","134.26","135.48","135.90","133.99","2.29M","-2.75%"
"08/30/2024","138.06","136.79","138.08","136.34","1.92M","-0.04%"
"08/29/2024","138.12","137.47","138.73","136.15","544.54K","1.00%"
"08/28/2024","136.75","136.91","137.49","135.79","1.10M","-0.52%"
"08/27/2024","137.47","138.83","139.52","137.11","723.24K","-0.60%"
"08/26/2024","138.30","139.86","140.55","137.72","819.45K","0.09%"
"08/23/2024","138.18","137.31","138.51","136.61","648.48K","1.51%"
"08/22/2024","136.13","136.39","137.18","135.71","652.92K","-0.16%"
"08/21/2024","136.35","136.88","137.46","135.45","2.09M","0.24%"
"08/20/2024","136.02","138.18","138.18","135.34","1.54M","-1.56%"
"08/19/2024","138.18","136.80","138.73","136.46","1.04M","1.16%"
"08/16/2024","136.59","134.97","137.16","134.97","1.09M","0.18%"
"08/15/2024","136.34","135.13","137.28","135.13","1.01M","1.64%"
"08/14/2024","134.14","133.63","134.46","132.76","1.12M","0.11%"
"08/13/2024","133.99","133.38","134.38","132.96","1.11M","-0.76%"
"08/12/2024","135.01","134.98","136.14","133.93","2.58M","0.45%"
