"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","28.06","28.20","28.33","28.04","5.42M","-0.95%"
"10/10/2024","28.33","28.31","28.58","28.07","4.87M","0.68%"
"10/09/2024","28.14","27.82","28.28","27.74","3.74M","0.11%"
"10/08/2024","28.11","28.69","28.69","27.94","5.74M","-3.37%"
"10/07/2024","29.09","29.01","29.40","28.99","7.74M","0.34%"
"10/04/2024","28.99","28.79","29.02","28.41","4.12M","1.58%"
"10/03/2024","28.54","27.99","28.54","27.81","4.63M","2.04%"
"10/02/2024","27.97","28.15","28.23","27.52","4.69M","1.19%"
"10/01/2024","27.64","26.36","27.75","26.29","6.20M","3.79%"
"09/30/2024","26.63","26.34","26.74","26.27","4.45M","0.57%"
"09/27/2024","26.48","26.00","26.54","25.97","4.30M","2.36%"
"09/26/2024","25.87","26.11","26.35","25.81","8.66M","-3.25%"
"09/25/2024","26.74","27.50","27.56","26.74","5.30M","-3.05%"
"09/24/2024","27.58","28.21","28.23","27.57","3.96M","-0.68%"
"09/23/2024","27.77","27.93","28.06","27.24","6.50M","-0.57%"
"09/20/2024","27.93","27.99","28.18","27.71","15.24M","0.14%"
"09/19/2024","27.89","27.89","28.12","27.63","6.74M","1.68%"
"09/18/2024","27.43","27.17","27.79","27.17","6.91M","0.26%"
"09/17/2024","27.36","26.62","27.41","26.60","5.31M","2.63%"
"09/16/2024","26.66","26.40","26.72","26.35","","2.03%"
"09/13/2024","26.13","26.13","26.34","26.06","4.30M","0.58%"
"09/12/2024","25.98","25.88","26.14","25.74","5.57M","0.35%"
"09/11/2024","25.89","26.20","26.25","25.54","5.88M","-1.26%"
"09/10/2024","26.22","26.65","26.67","26.04","7.02M","-1.54%"
"09/09/2024","26.63","26.73","26.91","26.62","5.17M","-0.34%"
"09/06/2024","26.72","27.09","27.36","26.65","5.64M","-1.29%"
"09/05/2024","27.07","27.57","27.60","27.05","5.10M","-1.02%"
"09/04/2024","27.35","27.89","28.08","27.32","6.54M","-1.30%"
"09/03/2024","27.71","28.12","28.20","27.49","7.22M","-3.28%"
"08/30/2024","28.65","28.48","28.74","28.33","7.34M","-0.69%"
"08/29/2024","28.85","28.44","29.05","28.26","4.46M","2.09%"
"08/28/2024","28.26","28.13","28.29","27.91","4.32M","-0.25%"
"08/27/2024","28.33","28.55","28.67","28.26","4.99M","-0.94%"
"08/26/2024","28.60","28.57","28.99","28.48","5.86M","1.82%"
"08/23/2024","28.09","27.89","28.11","27.81","3.96M","1.52%"
"08/22/2024","27.67","27.68","27.87","27.61","5.11M","0.14%"
