"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","54.76","54.35","55.24","54.23","9.44M","0.35%"
"10/10/2024","54.57","54.34","54.87","53.83","7.23M","1.24%"
"10/09/2024","53.90","53.80","54.35","53.56","8.85M","-0.77%"
"10/08/2024","54.32","54.92","54.93","53.78","13.77M","-2.84%"
"10/07/2024","55.91","55.98","56.49","55.66","16.17M","0.27%"
"10/04/2024","55.76","55.13","55.80","54.36","14.42M","1.77%"
"10/03/2024","54.79","53.53","54.89","53.23","17.56M","2.53%"
"10/02/2024","53.44","54.02","54.05","52.33","22.80M","0.36%"
"10/01/2024","53.25","51.23","53.77","50.93","27.90M","3.32%"
"09/30/2024","51.54","51.16","52.06","50.35","20.33M","1.00%"
"09/27/2024","51.03","50.13","51.15","50.05","15.71M","2.24%"
"09/26/2024","49.91","50.21","50.63","49.75","22.35M","-2.37%"
"09/25/2024","51.12","51.92","52.36","51.03","11.82M","-2.44%"
"09/24/2024","52.40","53.00","53.11","52.26","9.21M","0.31%"
"09/23/2024","52.24","51.85","52.87","51.64","9.57M","1.16%"
"09/20/2024","51.64","51.80","51.81","50.88","11.38M","-0.75%"
"09/19/2024","52.03","52.63","52.72","51.90","10.83M","0.54%"
"09/18/2024","51.75","51.80","52.58","51.63","9.01M","-0.60%"
"09/17/2024","52.06","51.28","52.13","51.21","11.81M","1.50%"
"09/16/2024","51.29","51.23","51.91","50.98","","0.47%"
"09/13/2024","51.05","51.20","51.81","50.95","12.36M","0.12%"
"09/12/2024","50.99","50.90","51.48","50.49","11.90M","0.65%"
"09/11/2024","50.66","51.51","51.51","49.90","16.99M","-1.42%"
"09/10/2024","51.39","52.29","52.31","50.85","13.69M","-1.51%"
"09/09/2024","52.18","52.15","52.77","52.06","11.13M","0.29%"
"09/06/2024","52.03","53.72","54.13","51.79","17.19M","-3.18%"
"09/05/2024","53.74","55.05","55.06","53.60","14.15M","-1.63%"
"09/04/2024","54.63","55.40","55.76","54.58","10.36M","-1.39%"
"09/03/2024","55.40","56.22","56.23","55.28","15.36M","-2.77%"
"08/30/2024","56.98","57.04","57.11","56.37","9.62M","-0.40%"
"08/29/2024","57.21","57.00","57.57","56.41","9.45M","0.76%"
"08/28/2024","56.78","56.54","56.92","56.24","7.28M","-0.11%"
"08/27/2024","56.84","57.34","57.46","56.54","8.44M","-0.92%"
"08/26/2024","57.37","58.14","58.47","57.23","11.30M","0.23%"
"08/23/2024","57.24","56.68","57.26","56.39","12.12M","2.03%"
"08/22/2024","56.10","56.06","56.51","55.90","8.68M","0.14%"
"08/21/2024","56.02","56.58","56.72","55.75","13.71M","-0.27%"
"08/20/2024","56.17","57.36","57.37","56.15","14.46M","-2.13%"
"08/19/2024","57.39","57.91","58.20","57.31","11.06M","-0.38%"
"08/16/2024","57.61","57.42","57.85","57.26","8.91M","-0.35%"
"08/15/2024","57.81","57.23","57.93","57.15","10.31M","1.53%"
"08/14/2024","56.94","57.74","57.74","56.64","18.22M","-0.90%"
"08/13/2024","57.46","57.88","57.95","56.97","22.50M","-2.58%"
"08/12/2024","58.98","58.85","59.11","58.31","6.59M","0.98%"
"08/09/2024","58.41","58.64","58.65","57.77","7.60M","-0.21%"
"08/08/2024","58.53","57.50","59.31","57.10","13.80M","4.31%"
"08/07/2024","56.11","57.19","57.20","56.06","9.89M","-0.04%"
"08/06/2024","56.13","56.47","56.63","56.03","9.00M","-0.09%"
"08/05/2024","56.18","55.50","56.69","55.04","13.40M","-2.58%"
"08/02/2024","57.67","58.62","58.79","56.45","16.20M","-2.88%"
"08/01/2024","59.38","60.86","60.98","58.77","9.60M","-2.37%"
"07/31/2024","60.82","61.19","61.35","60.80","5.68M","0.91%"
"07/30/2024","60.27","60.09","60.43","59.79","5.80M","0.15%"
"07/29/2024","60.18","60.69","60.79","59.58","6.34M","-0.59%"
"07/26/2024","60.54","60.60","60.76","59.96","5.19M","0.02%"
"07/25/2024","60.53","59.84","61.05","59.78","5.71M","0.77%"
"07/24/2024","60.07","60.63","60.88","59.91","5.57M","-0.56%"
"07/23/2024","60.41","61.23","61.23","59.97","8.85M","-1.31%"
"07/22/2024","61.21","62.53","62.54","61.13","9.94M","-3.04%"
"07/19/2024","63.13","63.56","64.04","62.35","10.02M","-0.94%"
"07/18/2024","63.73","63.36","64.75","63.11","9.04M","0.92%"
"07/17/2024","63.15","62.50","63.47","62.48","7.92M","1.66%"
"07/16/2024","62.12","61.50","62.41","61.24","5.01M","0.19%"
"07/15/2024","62.00","61.58","62.58","61.06","8.33M","1.31%"
"07/12/2024","61.20","61.75","61.92","61.07","5.10M","-0.46%"
"07/11/2024","61.48","61.17","61.75","60.81","5.16M","0.11%"
"07/10/2024","61.41","61.05","61.49","60.86","5.22M","0.64%"
"07/09/2024","61.02","60.50","61.56","60.41","5.51M","0.11%"
"07/08/2024","60.95","61.40","61.99","60.92","6.33M","-1.36%"
"07/05/2024","61.79","62.35","62.39","61.46","4.85M","-0.85%"
"07/03/2024","62.32","62.33","62.54","61.87","4.12M","-0.06%"
"07/02/2024","62.36","63.44","63.52","61.82","6.66M","-0.83%"
"07/01/2024","62.88","63.26","63.58","62.52","5.32M","-0.24%"
"06/28/2024","63.03","63.20","63.42","62.77","8.40M","0.54%"
"06/27/2024","62.69","63.31","63.40","62.46","4.73M","-0.29%"
"06/26/2024","62.87","63.00","63.08","62.11","5.26M","-0.36%"
"06/25/2024","63.10","63.08","63.21","62.54","6.21M","-0.24%"
"06/24/2024","63.25","61.38","63.65","61.33","10.32M","3.82%"
"06/21/2024","60.92","62.69","62.77","60.72","21.30M","-2.43%"
"06/20/2024","62.44","61.92","62.96","61.44","11.22M","1.93%"
"06/18/2024","61.26","61.03","61.60","60.83","10.43M","1.76%"
